Feature,Sign,Bins,IV
V2,FALSE,"[-0.0986779376837247, 1.18248816990071]",0.372850044
V3,TRUE,"[-1.45597939171601, -1.00477029008895, -0.57202301652396]",0.573060041
V10,TRUE,"[-1.33584798796485, -0.680036661549588, -0.162268373668862]",0.52064969
V14,TRUE,"[-1.45266598262744, -0.991595392268344, -0.788164538447547]",0.518741644
V18,FALSE,"[-0.267826471412248, 0.166473111833407, 0.539929121609062, 0.964790869371135, 1.25186714251205]",0.400201672
V17,FALSE,"[0.331845882533011, 0.38956525490179, 0.811694475267867]",0.276094297
